Dataloger,Nombre
9707,CELDA DE CARGA 1942
9464,CELDA DE CARGA 1943
9665 0,CELDA DE CARGA 1944
9524,CELDA DE CARGA 1946
9560,CELDA DE CARGA 1947
9701,CELDA DE CARGA 1948
9660,CELDA DE CARGA 1949
9526,CELDA DE CARGA 1950
83798,CELDA DE CARGA 1951
9543,CELDA DE CARGA 1952
83734,CELDA DE CARGA 1953
9559,CELDA DE CARGA 1954
9500,CELDA DE CARGA 1955
9729,CELDA DE CARGA 1957
9666,CELDA DE CARGA 1959
9725,CELDA DE CARGA 1960
83942,CELDA DE CARGA 1963
9697,CELDA DE CARGA 1964
9698,CELDA DE CARGA 1965
9516,CELDA DE CARGA 1966
9485,CELDA DE CARGA 1967
1162670,CLINOMETRO 1 A
1162671,CLINOMETRO 1 B
132810,CLINOMETRO 2 A
132811,CLINOMETRO 2 B
176730,CLINOMETRO 3 A
176731,CLINOMETRO 3 B
131360,CLINOMETRO 4 A
131361,CLINOMETRO 4 B
132610,CLINOMETRO 5 A
132611,CLINOMETRO 5 B
846800,MEDIDOR DE JUNTAS 1
846801,MEDIDOR DE JUNTAS 2
846802,MEDIDOR DE JUNTAS 3
846803,MEDIDOR DE JUNTAS 4
846804,MEDIDOR DE JUNTAS 5
43537,PIEZOMETRO 2
814940,PIEZOMETRO 4
814941,PIEZOMETRO 5
115807,AFORADOR 1
115871,AFORADOR 2
115611,AFORADOR 3
115851,AFORADOR 4
18457,AFORADOR 5
